regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,1.0,0.75,0.75,2.0,0.04823843624634031,3.664,0.0
misspec,1.0,0.75,1.0,0.5,0.30057897680816253,0.001,0.9675
misspec,1.0,0.75,1.0,0.75,0.24735669655909936,0.0075,0.6145
misspec,1.0,0.75,1.0,1.0,0.19331313066191752,0.1075,0.2045
misspec,1.0,0.75,1.0,1.5,0.10719465259308376,1.149,0.0075
misspec,1.0,0.75,1.0,2.0,0.06453209758140192,2.8135,0.0
misspec,1.0,0.75,1.5,0.5,0.32714446194103913,0.0,0.998
misspec,1.0,0.75,1.5,0.75,0.2810791831145495,0.0,0.8995
misspec,1.0,0.75,1.5,1.0,0.24058304053489712,0.004,0.529
misspec,1.0,0.75,1.5,1.5,0.153855564062948,0.3455,0.0415
misspec,1.0,0.75,1.5,2.0,0.09253991381451265,1.5685,0.0055
misspec,1.0,0.75,2.0,0.5,0.33788035587882653,0.0,1.0
misspec,1.0,0.75,2.0,0.75,0.2935807108210485,0.0,0.978
misspec,1.0,0.75,2.0,1.0,0.2659171261440082,0.0,0.7575
misspec,1.0,0.75,2.0,1.5,0.16909216301893917,0.085,0.131
misspec,1.0,0.75,2.0,2.0,0.11431164842158165,0.814,0.013
misspec,1.0,1.0,0.5,0.5,0.20228728922177605,0.021,0.7195
misspec,1.0,1.0,0.5,0.75,0.1519116130706928,0.1415,0.331
misspec,1.0,1.0,0.5,1.0,0.11911848700692414,0.439,0.0995
misspec,1.0,1.0,0.5,1.5,0.0790540837300838,1.505,0.0065
misspec,1.0,1.0,0.5,2.0,0.052170394959844144,2.7415,0.0005
misspec,1.0,1.0,0.75,0.5,0.2287690086276403,0.0,0.9665
misspec,1.0,1.0,0.75,0.75,0.204627449227323,0.0065,0.718
misspec,1.0,1.0,0.75,1.0,0.17576292625969353,0.049,0.3655
misspec,1.0,1.0,0.75,1.5,0.1201475090077542,0.4925,0.0385
misspec,1.0,1.0,0.75,2.0,0.07590947536803162,1.485,0.0055
misspec,1.0,1.0,1.0,0.5,0.2538000024522659,0.0,0.9975
misspec,1.0,1.0,1.0,0.75,0.228297116171456,0.0,0.9105
misspec,1.0,1.0,1.0,1.0,0.19838487025573293,0.005,0.6305
misspec,1.0,1.0,1.0,1.5,0.13532390950972414,0.144,0.1165
misspec,1.0,1.0,1.0,2.0,0.09697706294230246,0.73,0.01
misspec,1.0,1.0,1.5,0.5,0.25684714029927064,0.0,1.0
misspec,1.0,1.0,1.5,0.75,0.25169016752309775,0.0,0.9945
misspec,1.0,1.0,1.5,1.0,0.22346313052850217,0.0,0.9125
misspec,1.0,1.0,1.5,1.5,0.17430431084965092,0.0065,0.3525
misspec,1.0,1.0,1.5,2.0,0.13261858370869561,0.1585,0.074
misspec,1.0,1.0,2.0,0.5,0.2610056617929922,0.0,1.0
misspec,1.0,1.0,2.0,0.75,0.2521673785036262,0.0,1.0
misspec,1.0,1.0,2.0,1.0,0.23029553936260352,0.0,0.98
misspec,1.0,1.0,2.0,1.5,0.1983724955819106,0.001,0.6015
misspec,1.0,1.0,2.0,2.0,0.14369314067276404,0.043,0.1735
misspec,1.0,1.5,0.5,0.5,0.17329708095919016,0.003,0.9325
misspec,1.0,1.5,0.5,0.75,0.1526536993846089,0.0115,0.7515
misspec,1.0,1.5,0.5,1.0,0.14122974692240486,0.04,0.48
misspec,1.0,1.5,0.5,1.5,0.10026929069594312,0.2555,0.118
misspec,1.0,1.5,0.5,2.0,0.08275482046890073,0.704,0.0245
misspec,1.0,1.5,0.75,0.5,0.17889247814643597,0.0,0.999
misspec,1.0,1.5,0.75,0.75,0.1647211818477618,0.0,0.9715
misspec,1.0,1.5,0.75,1.0,0.16098101933039724,0.002,0.8665
misspec,1.0,1.5,0.75,1.5,0.13055830348213668,0.0155,0.421
misspec,1.0,1.5,0.75,2.0,0.09390460160149444,0.113,0.122
misspec,1.0,1.5,1.0,0.5,0.1848301108805794,0.0,1.0
misspec,1.0,1.5,1.0,0.75,0.17697179547926767,0.0,0.998
misspec,1.0,1.5,1.0,1.0,0.1781317454085283,0.0,0.9725
misspec,1.0,1.5,1.0,1.5,0.1593966346796718,0.001,0.679
misspec,1.0,1.5,1.0,2.0,0.11945493245800146,0.0175,0.2925
misspec,1.0,1.5,1.5,0.5,0.19607962773855556,0.0,1.0
misspec,1.0,1.5,1.5,0.75,0.18734862593634694,0.0,1.0
misspec,1.0,1.5,1.5,1.0,0.17609347015403343,0.0,1.0
misspec,1.0,1.5,1.5,1.5,0.1638682845459824,0.0,0.9255
misspec,1.0,1.5,1.5,2.0,0.14830184189678414,0.0005,0.6235
misspec,1.0,1.5,2.0,0.5,0.19328837158937393,0.0,1.0
misspec,1.0,1.5,2.0,0.75,0.19321548377352132,0.0,1.0
misspec,1.0,1.5,2.0,1.0,0.18510859096701462,0.0,1.0
misspec,1.0,1.5,2.0,1.5,0.16983096994034425,0.0,0.9855
misspec,1.0,1.5,2.0,2.0,0.15603705636397946,0.0,0.809
misspec,1.0,2.0,0.5,0.5,0.1436090000977757,0.0,0.979
misspec,1.0,2.0,0.5,0.75,0.13695400480504707,0.004,0.916
misspec,1.0,2.0,0.5,1.0,0.12650677822386958,0.006,0.78
misspec,1.0,2.0,0.5,1.5,0.1044451071804018,0.039,0.395
misspec,1.0,2.0,0.5,2.0,0.08901722000245683,0.127,0.152
misspec,1.0,2.0,0.75,0.5,0.1513980066793842,0.0,1.0
misspec,1.0,2.0,0.75,0.75,0.15509777202526007,0.0,0.9965
misspec,1.0,2.0,0.75,1.0,0.1399155230001131,0.0,0.9795
misspec,1.0,2.0,0.75,1.5,0.13523455172954696,0.0,0.794
misspec,1.0,2.0,0.75,2.0,0.11465160092421078,0.007,0.4605
misspec,1.0,2.0,1.0,0.5,0.16048954409820956,0.0,1.0
misspec,1.0,2.0,1.0,0.75,0.15207716908484145,0.0,1.0
misspec,1.0,2.0,1.0,1.0,0.14705554317902508,0.0,0.9985
misspec,1.0,2.0,1.0,1.5,0.13310462987363506,0.0,0.9455
